SceneName,SceneCode,BackgroundPrompt,RouteFit,SafetyBlock,PromptV1,approved_flag,usage_tags
Warung Kampung Tepi Jalan,SCN_WARUNG_KAMPUNG_TEPI_JALAN,"Background: humble roadside Malay village warung, red plastic chairs, zinc corrugated roof, potted plants at entrance, honest midday natural light, authentic everyday Malaysian setting",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty background scene reference plate for commercial compositing. Scene: Warung Kampung Tepi Jalan. humble roadside Malay village warung, red plastic chairs, zinc corrugated roof, potted plants at entrance, honest midday natural light, authentic everyday Malaysian setting. Empty environment — no people and no product in frame — a clean commercial background plate suitable as a scene/style reference for later compositing a presenter and product. Natural depth, perspective, and lighting exactly as described. No rendered text, captions, headlines, logos-as-text, price tags, watermark, sticker, or UI chrome — a clean plate only.",TRUE,warung|kampung|everyday|outdoor
Pintu Gerbang Banglo,SCN_PINTU_GERBANG_BANGLO,"Background: modern bungalow driveway entrance, manicured landscaped front garden, warm pathway light, evening blue-hour ambiance, soft bokeh of green foliage",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty background scene reference plate for commercial compositing. Scene: Pintu Gerbang Banglo. modern bungalow driveway entrance, manicured landscaped front garden, warm pathway light, evening blue-hour ambiance, soft bokeh of green foliage. Empty environment — no people and no product in frame — a clean commercial background plate suitable as a scene/style reference for later compositing a presenter and product. Natural depth, perspective, and lighting exactly as described. No rendered text, captions, headlines, logos-as-text, price tags, watermark, sticker, or UI chrome — a clean plate only.",TRUE,home|bungalow|evening|outdoor
Hutan Tropika,SCN_HUTAN_TROPIKA,"Background: lush tropical rainforest trail, dense green canopy overhead, shafts of golden sunlight piercing through leaves, light mist in background, cinematic natural light",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty background scene reference plate for commercial compositing. Scene: Hutan Tropika. lush tropical rainforest trail, dense green canopy overhead, shafts of golden sunlight piercing through leaves, light mist in background, cinematic natural light. Empty environment — no people and no product in frame — a clean commercial background plate suitable as a scene/style reference for later compositing a presenter and product. Natural depth, perspective, and lighting exactly as described. No rendered text, captions, headlines, logos-as-text, price tags, watermark, sticker, or UI chrome — a clean plate only.",TRUE,outdoor|forest|tropical|nature
Padang Hijau Terbuka,SCN_PADANG_HIJAU_TERBUKA,"Background: open manicured green lawn, fresh morning light, light breeze visible in grass, clear blue sky with scattered soft clouds, wide serene natural landscape",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty background scene reference plate for commercial compositing. Scene: Padang Hijau Terbuka. open manicured green lawn, fresh morning light, light breeze visible in grass, clear blue sky with scattered soft clouds, wide serene natural landscape. Empty environment — no people and no product in frame — a clean commercial background plate suitable as a scene/style reference for later compositing a presenter and product. Natural depth, perspective, and lighting exactly as described. No rendered text, captions, headlines, logos-as-text, price tags, watermark, sticker, or UI chrome — a clean plate only.",TRUE,outdoor|field|morning|nature
Dapur Moden Open-Plan,SCN_DAPUR_MODEN_OPEN_PLAN,"Background: contemporary open-plan kitchen with white marble island counter, black pendant lights, large monstera leaf plant on counter, warm morning light flooding in from full-length glass windows",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty background scene reference plate for commercial compositing. Scene: Dapur Moden Open-Plan. contemporary open-plan kitchen with white marble island counter, black pendant lights, large monstera leaf plant on counter, warm morning light flooding in from full-length glass windows. Empty environment — no people and no product in frame — a clean commercial background plate suitable as a scene/style reference for later compositing a presenter and product. Natural depth, perspective, and lighting exactly as described. No rendered text, captions, headlines, logos-as-text, price tags, watermark, sticker, or UI chrome — a clean plate only.",TRUE,kitchen|modern|home|indoor
Modern Open-Plan Office,SCN_MODERN_OPEN_PLAN_OFFICE,"Background: contemporary Malaysian open-plan office with pale timber worktables, charcoal chairs, frosted glass partitions, unbranded storage wall, broad window daylight and clean foreground compositing space",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty commercial background plate. Scene: Modern Open-Plan Office. Contemporary Malaysian open-plan office with clear depth and daylight. No person, no product, no readable brand signage, no rendered captions, price text, watermark or UI.",TRUE,office|workplace|electronics|stationery|malaysia
Professional Desk Workstation,SCN_PROFESSIONAL_DESK_WORKSTATION,"Background: polished business-suite desk workstation with neutral oak desk, blank monitor backs, cable-managed accessories, soft task lighting, Kuala Lumpur skyline bokeh and generous clean desk-edge space",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty commercial background plate. Scene: Professional Desk Workstation. Realistic Malaysian professional workstation with compositing depth. No person, no product, no readable brand signage, no rendered captions, price text, watermark or UI.",TRUE,office|desk|electronics|stationery|workstation
Corporate Meeting Room,SCN_CORPORATE_MEETING_ROOM,"Background: refined corporate meeting room with a long light-wood table, neutral chairs, frosted glass wall, blank presentation surface, warm recessed lighting and open foreground",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty commercial background plate. Scene: Corporate Meeting Room. Realistic Malaysian corporate interior with balanced perspective. No person, no product, no readable brand signage, no rendered captions, price text, watermark or UI.",TRUE,office|meeting|corporate|home-living|indoor
Bright Office Pantry,SCN_BRIGHT_OFFICE_PANTRY,"Background: clean office pantry with stone counter, unbranded coffee equipment silhouettes, pale cabinets, small communal table, side-window daylight and empty counter foreground",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty commercial background plate. Scene: Bright Office Pantry. Realistic Malaysian office pantry with soft depth and lighting. No person, no product, no readable brand signage, no rendered captions, price text, watermark or UI.",TRUE,office|pantry|food-beverage|workplace|indoor
Modern Beauty Counter,SCN_MODERN_BEAUTY_COUNTER,"Background: premium beauty retail counter in a Malaysian mall with warm ivory empty display niches, curved stone counter, soft mirror glow and clean central foreground",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty commercial background plate. Scene: Modern Beauty Counter. Realistic Malaysian beauty retail with compositing depth. No person, no product, no readable brand signage, no rendered captions, price text, watermark or UI.",TRUE,beauty|fashion|retail|mall|counter
Neutral Fashion Boutique,SCN_NEUTRAL_FASHION_BOUTIQUE,"Background: elegant fashion boutique with neutral linen curtains, pale oak rails holding indistinct unbranded garments, terrazzo floor, soft track lighting and spacious fitting-area foreground",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty commercial background plate. Scene: Neutral Fashion Boutique. Realistic Malaysian boutique with editorial depth and lighting. No person, no product, no readable brand signage, no rendered captions, price text, watermark or UI.",TRUE,fashion|beauty|boutique|retail|indoor
Contemporary Gadget Store,SCN_CONTEMPORARY_GADGET_STORE,"Background: sleek electronics and gadget store with unbranded illuminated display bays, matte charcoal fixtures, blank demo tables, polished concrete floor and wide clean aisle",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty commercial background plate. Scene: Contemporary Gadget Store. Realistic Malaysian electronics retail with cool depth and lighting. No person, no product, no readable brand signage, no rendered captions, price text, watermark or UI.",TRUE,electronics|gadgets|office|retail|technology
Calm Baby Nursery,SCN_CALM_BABY_NURSERY,"Background: calm modern baby nursery with natural wood cot silhouette, soft sage wall, woven rug, filtered morning daylight and uncluttered floor foreground",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty commercial background plate. Scene: Calm Baby Nursery. Realistic Malaysian family interior with gentle compositing depth. No person, no product, no readable brand signage, no rendered captions, price text, watermark or UI.",TRUE,baby|kids|nursery|home-living|family
Baby Essentials Store,SCN_BABY_ESSENTIALS_STORE,"Background: bright baby essentials retail aisle with pale wood shelving, neutral pastel unlabelled silhouettes, rounded display table, soft overhead lighting and open central walkway",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty commercial background plate. Scene: Baby Essentials Store. Realistic Malaysian baby retail with soft depth and lighting. No person, no product, no readable brand signage, no rendered captions, price text, watermark or UI.",TRUE,baby|kids|beauty|retail|family
Pet Care Retail,SCN_PET_CARE_RETAIL,"Background: friendly pet-care retail interior with clean unbranded shelving, neutral accessory silhouettes, pale tile floor, warm daylight, low display counter and wide empty aisle",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty commercial background plate. Scene: Pet Care Retail. Realistic Malaysian pet retail with depth and lighting. No person, no product, no readable brand signage, no rendered captions, price text, watermark or UI.",TRUE,pet-care|retail|home-living|animals|indoor
Pet Grooming Studio,SCN_PET_GROOMING_STUDIO,"Background: hygienic pet grooming studio with pale tiled walls, empty stainless wash station, unbranded grooming bench, warm diffuse lighting and spotless floor foreground",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty commercial background plate. Scene: Pet Grooming Studio. Realistic Malaysian grooming environment with clean depth. No person, no product, no readable brand signage, no rendered captions, price text, watermark or UI.",TRUE,pet-care|grooming|beauty|service|indoor
Urban Fitness Studio,SCN_URBAN_FITNESS_STUDIO,"Background: airy urban fitness studio with blank mirrored wall, rubber flooring, neatly stored unbranded equipment silhouettes, daylight bands and empty central training area",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty commercial background plate. Scene: Urban Fitness Studio. Realistic Malaysian fitness studio with cinematic depth. No person, no product, no readable brand signage, no rendered captions, price text, watermark or UI.",TRUE,sports|fitness|beauty|gym|urban
Hardware Tools Aisle,SCN_HARDWARE_TOOLS_AISLE,"Background: orderly hardware and home-improvement store aisle with timber shelves, neutral tool silhouettes, unbranded pegboard, warm industrial lights and broad empty aisle depth",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty commercial background plate. Scene: Hardware Tools Aisle. Realistic Malaysian hardware retail with useful compositing depth. No person, no product, no readable brand signage, no rendered captions, price text, watermark or UI.",TRUE,tools|hardware|home-improvement|home-living|retail
Modern Wood Workshop,SCN_MODERN_WOOD_WORKSHOP,"Background: clean modern woodworking workshop with pale timber workbench, neatly mounted unbranded tool silhouettes, concrete floor, side-window daylight and uncluttered foreground",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty commercial background plate. Scene: Modern Wood Workshop. Realistic Malaysian workshop with industrial depth and lighting. No person, no product, no readable brand signage, no rendered captions, price text, watermark or UI.",TRUE,tools|workshop|automotive|home-improvement|malaysia
Automotive Showroom,SCN_AUTOMOTIVE_SHOWROOM,"Background: premium automotive showroom with glossy neutral floor, daylight through glass facade, empty vehicle-display bay, soft architectural reflections and generous foreground space",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty commercial background plate. Scene: Automotive Showroom. Realistic Malaysian showroom with clear depth and lighting. No person, no product, no readable brand signage, no rendered captions, price text, watermark or UI.",TRUE,automotive|showroom|electronics|retail|malaysia
Automotive Service Bay,SCN_AUTOMOTIVE_SERVICE_BAY,"Background: spotless automotive service bay with empty lift platform, matte tool cabinets, clean concrete floor, bright overhead work lights, unbranded walls and linear perspective",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty commercial background plate. Scene: Automotive Service Bay. Realistic Malaysian service environment with deep perspective. No person, no product, no readable brand signage, no rendered captions, price text, watermark or UI.",TRUE,automotive|service-bay|tools|workshop|indoor
Contemporary Mall Exterior,SCN_CONTEMPORARY_MALL_EXTERIOR,"Background: contemporary Malaysian mall exterior at blue hour with textured stone entrance, covered walkway, warm architectural lighting, blank sign bands and clean tiled foreground",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty commercial background plate. Scene: Contemporary Mall Exterior. Realistic Malaysian mall exterior with layered depth. No person, no product, no readable brand signage, no rendered captions, price text, watermark or UI.",TRUE,fashion|beauty|mall|retail|exterior
Urban Road At Night,SCN_URBAN_ROAD_AT_NIGHT,"Background: clean Malaysian urban road at night with wet asphalt reflections, modern streetlights, unbranded building facades, distant traffic-light bokeh and clear curbside foreground",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty commercial background plate. Scene: Urban Road At Night. Realistic Malaysian night street with cinematic compositing depth. No person, no product, no readable brand signage, no rendered captions, price text, watermark or UI.",TRUE,automotive|electronics|urban|night|malaysia
Convenience Store Night Exterior,SCN_CONVENIENCE_STORE_NIGHT_EXTERIOR,"Background: Malaysian convenience store exterior at night with blank fascia, warm window glow, tidy covered entrance, subtle pavement reflections and open foreground space",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty commercial background plate. Scene: Convenience Store Night Exterior. Realistic Malaysian retail exterior with warm depth. No person, no product, no readable brand signage, no rendered captions, price text, watermark or UI.",TRUE,food-beverage|home-living|convenience|night|malaysia
